Date,Distance [km],Calories,Calories/min,Time,Time [sec],Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Avg_Pace [sec/km],Best Pace,Best_Pace [sec/km],Total Ascent,Total Descent,Avg Stride Length,Number of Laps,Min Elevation,Max Elevation,Temp [°C],Temp_categ,Humedad,Humedad_categ,Post lockdown
3/18/2022,8.16,511,0.23018018,0:37:00,"2,220",164,177,3.7,164,173,4:32,272,4:06,246,71,75,1.34,9,-6,24,17.8,2-Warm,49%,2-Medium,NO
3/14/2022,8.15,526,0.233466489,0:37:33,"2,253",169,183,3.8,163,175,4:37,277,3:59,239,109,111,1.33,9,-6,23,23.9,2-Warm,69%,3-High,NO
3/11/2022,8.16,515,0.22858411,0:37:33,"2,253",166,178,3.8,163,170,4:36,276,4:06,246,75,72,1.33,9,2,18,22.2,2-Warm,46%,2-Medium,NO
3/9/2022,8.17,526,0.234089898,0:37:27,"2,247",168,180,4,164,179,4:35,275,3:57,237,82,84,1.33,9,-6,23,20,2-Warm,78%,3-High,NO
3/7/2022,8.11,532,0.233743409,0:37:56,"2,276",169,183,4.1,163,184,4:41,281,3:57,237,127,134,1.31,9,-6,22,23.9,2-Warm,47%,2-Medium,NO
3/4/2022,4.89,296,0.215116279,0:22:56,"1,376",162,173,3.1,163,172,4:41,281,4:13,253,49,56,1.31,5,-6,22,23.9,2-Warm,83%,3-High,NO
3/2/2022,8.13,537,0.230670103,0:38:48,"2,328",168,183,4,163,182,4:46,286,4:06,246,112,115,1.28,9,-7,22,28.9,3-Hot,37%,2-Medium,NO
2/23/2022,8.16,525,0.223880597,0:39:05,"2,345",165,181,3.7,163,176,4:47,287,4:08,248,78,72,1.28,9,-6,23,23.9,2-Warm,74%,3-High,NO
2/21/2022,8.17,539,0.233636758,0:38:27,"2,307",168,184,4.1,164,173,4:42,282,4:12,252,108,112,1.3,9,-5,23,27.2,3-Hot,45%,2-Medium,NO
2/17/2022,8.17,517,0.220751494,0:39:02,"2,342",164,177,3.8,163,171,4:47,287,4:01,241,61,62,1.28,9,2,18,21.1,2-Warm,64%,2-Medium,NO
2/14/2022,6.55,447,0.240322581,0:31:00,"1,860",171,182,3.7,163,175,4:44,284,4:07,247,86,85,1.29,7,-6,22,26.1,3-Hot,70%,3-High,NO
2/9/2022,6.53,416,0.226826609,0:30:34,"1,834",165,179,3.5,163,171,4:41,281,4:08,248,26,23,1.31,7,2,18,23.9,2-Warm,69%,3-High,NO
2/7/2022,4.91,296,0.216216216,0:22:49,"1,369",161,174,3.1,162,168,4:39,279,4:07,247,60,64,1.33,5,-6,22,22.2,2-Warm,61%,2-Medium,NO
